,Search_Location,Search_Keywords,Job_Title,Job_Detail_Link,Company_Name,Short_Description,Location,Post_Time,Rating,Current_Time,Unnamed: 10
10,"New York, NY",social impact,HUMAN RIGHTS OFFICER,https://www.indeed.com/rc/clk?jk=2b2820fff880107f&fccid=65ae769cb89830ec&vjs=3,United Nations, Conducts substantive research and analysis of human rights issues/events and assesses their impact on the human rights situation in assigned region or country,"New York, NY","Posted
Posted 23 days ago",4.4,09/10/2022,
11,"New York, NY",social impact,Social Media Manager,https://www.indeed.com/rc/clk?jk=a178ad96aa65a158&fccid=b8a9cbe2d2bd31f6&vjs=3,Lambda Legal," Maintain social media accounts by ensuring best practices, while fostering a positive brand image for Lambda Legal.
 Union Status: G3 (on scale of G1-G9)","New York, NY 10005 
(Financial District area)","Posted
Posted 2 days ago",,09/10/2022,
12,"New York, NY",social impact,"AMD, UIG Analyst, New York",https://www.indeed.com/rc/clk?jk=b08cb269dc6a4535&fccid=16a97ed26c75bf2d&vjs=3,Goldman Sachs," Evaluation of potential investment opportunities by reviewing a project’s social impact, financial projections, evaluating risk, proposing terms, and modeling","New York, NY 10282 
(Battery Park area)","Posted
Posted 10 days ago",4,09/10/2022,
13,"New York, NY",social impact,Humanitarian Affairs Officer [Filled from Roster],https://www.indeed.com/rc/clk?jk=37632b748b1fd66b&fccid=65ae769cb89830ec&vjs=3,United Nations," Ability to conduct research, including ability to evaluate and integrate information from a variety of sources and assess impact on the humanitarian rights","New York, NY","Posted
Posted 30+ days ago",4.4,09/10/2022,
14,"New York, NY",social impact,HR Generalist - TikTok - New York,https://www.indeed.com/rc/clk?jk=c53d8ed62d0d5151&fccid=caed318a9335aac0&vjs=3,TikTok," Support diversity and inclusion, corporate social responsibility, and other HR operational projects as identified for your designated teams","New York, NY","Posted
Posted 9 days ago",3.3,09/10/2022,
15,"New York, NY",social impact,"Manager, Impact Investing (Remote)",https://www.indeed.com/rc/clk?jk=6b3a0fea99c7e0e7&fccid=049a66f3ffa9366a&vjs=3,World Education Services," Analyze and track the performance, financial and social reporting, and payments from portfolio companies, including synthesizing data into financial models,","Remote in New York, NY 10004","Posted
Posted 3 days ago",3.5,09/10/2022,
16,"New York, NY",social impact,Customer Service Case Navigator,https://www.indeed.com/rc/clk?jk=57a5a7ba76babbbd&fccid=f97367b3ac9546b1&vjs=3,NYC Careers," Create tickets and report any IT issues that impact productivity and day to day operations.
 Housed in the Division of Epidemiology, the Bureau of Vital","New York, NY 10013 
(Chinatown area)","Posted
Posted 12 days ago",2.5,09/10/2022,
17,"New York, NY",social impact,eCornell Enrollment Counselor I - Remote,https://www.indeed.com/rc/clk?jk=54843b2bd3b17792&fccid=306f028923c9e104&vjs=3,Cornell University," To achieve enrollment goals, you will conduct outreach via multiple communication channels, including cold calling, email, social selling, and utilizing social","Remote in New York, NY","Posted
Posted 2 days ago",4.3,09/10/2022,
18,"New York, NY",social impact,Production Editor,https://www.indeed.com/rc/clk?jk=5d937a6aa5a2650a&fccid=df30a08564cdd12e&vjs=3,Simon & Schuster," The Production Editor will manage print and digital titles, including mass markets and ebook originals, through the production process from manuscript through","New York, NY 10020 
(Midtown area)","Posted
Posted 17 days ago",3.6,09/10/2022,
19,"New York, NY",social impact,"Manager, Attribution",https://www.indeed.com/rc/clk?jk=9eac9f4d07c9af86&fccid=c3092a91bcb42ca9&vjs=3,Disney Media & Entertainment Distribution," BA/BS is communications, data analytics, social sciences or related field preferred.
 Develop in-house measurement products and offerings, with both proprietary","New York, NY","Posted
Posted 2 days ago",4.1,09/10/2022,
20,"New York, NY",social impact,Child Protection Caseworker,https://www.indeed.com/rc/clk?jk=99081c114983c3e0&fccid=78143039abd7ee91&vjs=3,International Rescue Committee," Knowledge of local community social services, NGO’s, Federal and State programs.
 Continually assess ongoing changes in behavior and general conditions that","Hybrid remote in New York, NY","Posted
Posted 3 days ago",4.2,09/10/2022,
21,"New York, NY",social impact,Project Coordinator - International Social Impact,https://www.indeed.com/rc/clk?jk=966e29a69791454e&fccid=194470e07edcc4c3&vjs=3,Sesame Workshop," Sesame’s research-driven initiatives reach many children who would otherwise have little or no access to early childhood education, and support all aspects of","Hybrid remote in New York, NY 10023","Posted
Posted 22 days ago",4.3,09/10/2022,
22,"New York, NY",social impact,Programming and Policy Analyst - IPSA 9,https://www.indeed.com/rc/clk?jk=43483e346872aef1&fccid=a9a8bf2e786e3726&vjs=3,United Nations Development Programme (UNDP)," Ability to manage communications internally and externally, through media, social media and other appropriate channels.
 Type of Contract : IPSA (Regular)","New York, NY","Posted
Posted 8 days ago",4.4,09/10/2022,
23,"New York, NY",social impact,"Manager, Women's Advancement, Social Impact Communications",https://www.indeed.com/rc/clk?jk=2c0d2f351de06576&fccid=5cbdaa742f7e51f3&vjs=3,The Estée Lauder Companies," Support gender equity and social impact storytelling across ELC’s internal and external communications channels including social media, company website, the ELC","New York, NY","Posted
Posted 12 days ago",4,09/10/2022,
24,"New York, NY",social impact,HUMAN RIGHTS INDIVIDUAL CONTRACTOR,https://www.indeed.com/rc/clk?jk=07118f4490650d74&fccid=65ae769cb89830ec&vjs=3,United Nations," EDUCATION: Advanced university degree (Master's degree or equivalent) in law, political science, international relations, social sciences or related field","New York, NY","Posted
Posted 3 days ago",4.4,09/10/2022,
25,"New York, NY",social impact,Video Director-Vogue,https://www.indeed.com/rc/clk?jk=8c65e98def5791a6&fccid=7ca1385998532a85&vjs=3,Conde Nast," This individual is a leading voice in the process of their series and oversees serialized social content production.
 Dedicated to a specific division","New York, NY","Posted
Posted 19 days ago",4,09/10/2022,
26,"New York, NY",social impact,Social Media Assistant,https://www.indeed.com/rc/clk?jk=1e1b516752010574&fccid=a54472ea27b03e50&vjs=3,Oxford University Press," Work with the social media team to analyze social media content performance and recommend actions based on analysis.
 Bachelor’s degree or higher","New York, NY 10016 
(Murray Hill area)","Posted
Posted 3 days ago",3.8,09/10/2022,
27,"New York, NY",social impact,"Assistant Editor -NBA, WNBA (Freelance)",https://www.indeed.com/rc/clk?jk=3b41798d56a575e5&fccid=30cb52ad6dd37131&vjs=3,CBS Sports," Monitor social media, podcasts competitors’ sites to aggregate or assign.
 The Assistant Editor role is a full-time freelance position on CBS Sports’ digital pro","New York, NY 10036","Posted
Posted 2 days ago",3.9,09/10/2022,
28,"New York, NY",social impact,2022 | Investment Banking/Financial Modeling | Analyst | New...,https://www.indeed.com/rc/clk?jk=78f123f2aaf36fd9&fccid=16a97ed26c75bf2d&vjs=3,Goldman Sachs," Engaging with both Goldman Sachs’ proprietary direct-investing programs and external managers’ open-architecture strategies, the ACMS Group centrally manages","New York, NY 10282 
(Battery Park area)","Posted
Posted 30+ days ago",4,09/10/2022,
29,"New York, NY",social impact,Director of Social Media- New York Knicks,https://www.indeed.com/rc/clk?jk=7bf2322557f42d8e&fccid=4d2b33d40412d480&vjs=3,Madison Square Garden Entertainment, Includes delivery of social playbook to establish overall social voice and brand behavior along with content execution for storytelling,"New York, NY 10121 
(Garment District area)","Posted
Posted 18 days ago",4,09/10/2022,
30,"New York, NY",social impact,Facilitator (Part-Time) - Staten Island Abusive Partner Inte...,https://www.indeed.com/rc/clk?jk=93a5c539d644e200&fccid=63d98d2772479fd8&vjs=3,EAC Network," High School Diploma or educational equivalent required or Bachelors Degree in social services area preferred.
 The position is part time, up to 15 hours per week","Remote in Staten Island, NY 10301","Posted
Posted 19 days ago",3.6,09/10/2022,
31,"New York, NY",social impact,Account Manager (Director) - Social Impact,https://www.indeed.com/rc/clk?jk=51921cf0b64b7d83&fccid=dc22fa0868e64a10&vjs=3,Porter Novelli," Understanding what makes for good digital and social media content and the ability to cross-promote.
 Our mission is to work with clients to find their authentic","New York, NY 10017 
(Tudor City area)","Posted
Posted 30+ days ago",3.3,09/10/2022,
32,"New York, NY",social impact,Coordinator - US Social Impact,https://www.indeed.com/rc/clk?jk=8d89ebd73b901a68&fccid=194470e07edcc4c3&vjs=3,Sesame Workshop," During these unprecedented times, U.S. Social Impact has a significant opportunity to expand its reach and impact by addressing the societal consequences of the","New York, NY 10023 
(Upper West Side area)","Posted
Posted 24 days ago",4.3,09/10/2022,
33,"New York, NY",social impact,ESG and Impact Investing Associate,https://www.indeed.com/rc/clk?jk=a67116a2a0fbd5d9&fccid=4983b5e32f963a34&vjs=3,Neuberger Berman," We also understand that for many of our clients, the impact of their portfolio is an important consideration in conjunction with investment performance","New York, NY","Posted
Posted 9 days ago",3.8,09/10/2022,
34,"New York, NY",social impact,Supervisory Education Specialist,https://www.indeed.com/rc/clk?jk=d21a5989145beeac&fccid=dd616958bd9ddc12&vjs=3,US Smithsonian Institution," For the latest information on the COVID-19 vaccination requirements and its impact on your application, click on Smithsonian Institution’s Frequently Asked","New York, NY","Posted
Posted 8 days ago",,09/10/2022,
35,"New York, NY",social impact,Associate Director for the New York City Department Of Corre...,https://www.indeed.com/rc/clk?jk=73b2fd98b6552564&fccid=d6dbeb6f0303a871&vjs=3,The City University of New York (CUNY)," We are looking for a leader with a background in, education, experiential program design and program administration, who will also bring to the position a","New York, NY","Posted
Posted 3 days ago",3.9,09/10/2022,
36,"New York, NY",social impact,Social Worker - Inpatient Psychiatry,https://www.indeed.com/rc/clk?jk=f228d9b820c68034&fccid=4d5d694743c295fc&vjs=3,NewYork-Presbyterian Hospital," In this role, you will provide clinical social work services, safety planning and discharge planning for the inpatient psychiatric population","Manhattan, NY","Posted
Posted 21 days ago",4.2,09/10/2022,
37,"New York, NY",social impact,Social Worker (MSW) - Abrons Arts Center,https://www.indeed.com/rc/clk?jk=6ec94dff7b555c40&fccid=bb007d88e4fab4a6&vjs=3,Henry Street Settlement," This person will have an opportunity to impact Abrons programming with a strategic and thoughtful lens, bringing the social work perspective to all Abrons","Hybrid remote in New York, NY 10002","Posted
Posted 30+ days ago",4,09/10/2022,
38,"New York, NY",social impact,Program Officer,https://www.indeed.com/rc/clk?jk=8343fd28203181aa&fccid=4ce2ae867f9601b0&vjs=3,Concern Worldwide U S Inc," A minimum of two years’ experience working in international development, humanitarian, or social sector;
 Undertake monitoring visits to Concern US supported","New York, NY 10017 
(Midtown area)","Posted
Posted 2 days ago",,09/10/2022,
39,"New York, NY",social impact,Telephonic Patient Engagement Specialist - Remote in New Hyd...,https://www.indeed.com/rc/clk?jk=7d62b787ebc1bc08&fccid=3c38342724c75954&vjs=3,Optum," You dream of a great career with a great company – where you can make an impact and help people.
 If you are located within commutable distance of New Hyde Park,","Remote in New Hyde Park, NY","Posted
Posted 1 day ago",3.4,09/10/2022,
40,"New York, NY",social impact,Corporate Social Responsibility Associate Program Manager,https://www.indeed.com/rc/clk?jk=1fb03ab15fb73c52&fccid=22ed71e5a9f5dd16&vjs=3,IAC," Manage Fellows social media accounts and develop other strategies for promoting the impact of the program externally.
 Flexible work from home options available","New York, NY 10001 
(Chelsea area)","Posted
Posted 3 days ago",4,09/10/2022,
41,"New York, NY",social impact,Associate Director of Educational Partnerships,https://www.indeed.com/rc/clk?jk=54ce039688b73db7&fccid=00659a1004ef1a12&vjs=3,"Teaching Matters, Inc."," Biannual social gatherings with the team and company events.
 Teaching Matters is building on its successful job-embedded approach to professional learning by","Hybrid remote in New York, NY 10115","Posted
Posted 30+ days ago",,09/10/2022,
42,"New York, NY",social impact,"Corporate Traveler - Corporate Travel Consultant - New York,...",https://www.indeed.com/rc/clk?jk=d12ef0a30d21b70c&fccid=249dc1a2c75a0223&vjs=3,Corporate Traveler (US)," Powered by the best talent around and our platform Melon, we build long-term partnerships and offer tailored solutions that have an immediate and positive","Hybrid remote in New York, NY","Posted
Posted 12 days ago",3.4,09/10/2022,
43,"New York, NY",social impact,Social Worker,https://www.indeed.com/rc/clk?jk=c779c5e5f89118a5&fccid=02c3642d72b15da7&vjs=3,US Veterans Health Administration, A doctoral degree in social work may not be substituted to http://www.cswe.org/Accreditation to verify that the social work degree meets the accreditation,"New York, NY","Posted
Posted 4 days ago",3.8,09/10/2022,
44,"New York, NY",social impact,"Summer Program Manager, Center for Anti-racism, Social Justi...",https://www.indeed.com/rc/clk?jk=e96d62c8c1ce41a4&fccid=8077183a161ef0fd&vjs=3,New York University," The Center for Anti-racism, Social Justice & Public Health is undertaking a sweeping, multifaceted transdisciplinary effort to build a science base that","New York, NY 10012 
(Greenwich Village area)","Posted
Posted 30+ days ago",4.2,09/10/2022,
45,"New York, NY",social impact,Homicide Investigator,https://www.indeed.com/rc/clk?jk=0e9648b92427c115&fccid=68bcf3c51fefe05e&vjs=3,The Bronx Defenders," Work closely with social workers and attorneys to develop mitigation reports.
 The Homicide Practice Group (HPG) is made up of a team of experienced CDP","Hybrid remote in Bronx, NY 10451","Posted
Posted 19 days ago",4,09/10/2022,
46,"New York, NY",social impact,"Project Manager, Social Media Content",https://www.indeed.com/rc/clk?jk=0fdcedf46b7d9904&fccid=f8bb8eb40f54f89f&vjs=3,Scholastic," Maintain a calendar of major planned projects for social media.
 Preferred: Experience with various social media platforms (Facebook, Instagram, Twitter,","New York, NY","Posted
Posted 5 days ago",3.7,09/10/2022,
47,"New York, NY",social impact,Care Navigator - Remote in NY and NJ,https://www.indeed.com/rc/clk?jk=324eca5d705ef149&fccid=3c38342724c75954&vjs=3,Optum," Assists members with social determinants of health and links to community resources.
 All Telecommuters will be required to adhere to UnitedHealth Group’s","Remote in New York, NY 10002","Posted
Posted 2 days ago",3.4,09/10/2022,
48,"New York, NY",social impact,NYC Climate Campaigns Coordinator,https://www.indeed.com/rc/clk?jk=befc19571e5bc893&fccid=29305cbc09ac0580&vjs=3,ALIGN," A commitment to social, economic, climate, and racial justice and the labor movement;
 The NYC Climate Campaigns Coordinator will be primarily responsible for","New York, NY 10004 
(Financial District area)","Posted
Posted 17 days ago",3.5,09/10/2022,
49,"New York, NY",social impact,Inclusion and Social Impact Marketing & Communications Manag...,https://www.indeed.com/rc/clk?jk=d8b352b660ffa525&fccid=e12568db331b1dfe&vjs=3,AlixPartners, Partner with our D&I and Social Responsibility leaders to develop communications strategies designed to keep our key audiences informed and invested in our,"Hybrid remote in New York, NY 10019","Posted
Posted 24 days ago",3.7,09/10/2022,
50,"New York, NY",social impact,Academic Advising Manager,https://www.indeed.com/rc/clk?jk=d82b88ed086d55aa&fccid=d6dbeb6f0303a871&vjs=3,The City University of New York (CUNY)," Participate in the management and implementation of early alerts, predictive analytics, and other opportunities for high impact, proactive engagement with","New York, NY","Posted
Posted 4 days ago",3.9,09/10/2022,
51,"New York, NY",social impact,Sales Associate (January 2023 Start)- NYC,https://www.indeed.com/rc/clk?jk=372c11d1a98f0239&fccid=4f8daa48ef966ab5&vjs=3,Paramount," The salary for this role is $55,000 annually and is eligible for overtime.
 This entry-level position aims to bring in and develop talented young people","New York, NY 10036","Posted
Posted 6 days ago",3.5,09/10/2022,
52,"New York, NY",social impact,Director of Social Services - 41st Street,https://www.indeed.com/rc/clk?jk=2dbba429d74d911e&fccid=8a823142b7758f63&vjs=3,"Westhab, Inc.", The Director of Social Services will oversee the day to day social service operations at a family with children homeless shelter in the Bronx,"Manhattan, NY 10036","Posted
Posted 30+ days ago",3.3,09/10/2022,
53,"New York, NY",social impact,"Program Director, Environmental Justice Movement Fellowship",https://www.indeed.com/rc/clk?jk=9828ed089de40fdb&fccid=f8b728c0f6f4871e&vjs=3,The New School," A commitment to and passion for environmental justice, leadership development, social movements, racial equity.
 Experience facilitating meetings and workshops","New York, NY 10011 
(Greenwich Village area)","Posted
Posted 30+ days ago",3.8,09/10/2022,
54,"New York, NY",social impact,"Associate Director, Diversity, Equity and Inclusion",https://www.indeed.com/rc/clk?jk=3e65aa18d8e8e736&fccid=adea62ae96d0c2c1&vjs=3,Consumer Reports," You have an academic background in social work, psychology, education or related fields, as well as gaining understanding of cultural values, norms, and","Remote in Yonkers, NY 10703","Posted
Posted 30+ days ago",3.3,09/10/2022,
55,"New York, NY",social impact,Associate Program Officer,https://www.indeed.com/company/The-ELMA-Philanthropies-Services-(U.S.)-Inc./jobs/Associate-Program-Officer-061f858b8b29125f?fccid=bf8a4efe7deffc69&vjs=3,The ELMA Philanthropies Services (U.S.) Inc.," Assess performance of the relevant portfolios, and design solutions to improve performance and impact.
 The Associate Program Officer will work closely with ELMA","New York, NY 10019 
(Midtown area)","Posted
Posted 3 days ago",,09/10/2022,
56,"New York, NY",social impact,Manager - Public Affairs & Communications,https://www.indeed.com/rc/clk?jk=43f71d74119dddbb&fccid=f057e04c37cca134&vjs=3,Amex," Strong social skills and experience working with all levels of an organization, including C-Suite and senior executives","New York, NY 10281 
(Battery Park area)","Posted
Posted 2 days ago",4.1,09/10/2022,
57,"New York, NY",social impact,Head of Social and Influencer Marketing,https://www.indeed.com/rc/clk?jk=cb3d762b3d275a80&fccid=e2d8410d469ed384&vjs=3,NWSL," Liaison with NWSL Business Intelligence to create social metric reports.
 Help shape social metrics that matter, reporting of impact and growth KPI's as well as","New York, NY","Posted
Posted 2 days ago",,09/10/2022,
58,"New York, NY",social impact,Communications Associate,https://www.indeed.com/rc/clk?jk=c648164cb80fa697&fccid=82e3f19d796cce5c&vjs=3,Equitable," The applicant should be interested in capital markets, financial services, business issues in general and having an affinity for social media is a plus","New York, NY","Posted
Posted 11 days ago",3.3,09/10/2022,
59,"New York, NY",social impact,"Vice President, Social Media Strategy",https://www.indeed.com/rc/clk?jk=785580a8d1124830&fccid=f8bb8eb40f54f89f&vjs=3,Scholastic," Sets the measurement plan for social media and reports on the impact of the strategy to the business:
 Oversee the process to consolidate and optimize social","New York, NY","Posted
Posted 5 days ago",3.7,09/10/2022,
60,"New York, NY",social impact,Associate Commissioner for Diversity Equity and Inclusion,https://www.indeed.com/rc/clk?jk=2fdaa5babe291ee8&fccid=f97367b3ac9546b1&vjs=3,NYC Careers," Our central task is administering available city, state, and federal funds to a wide range of innovative, practical, and quality programs that positively impact","Manhattan, NY 10038 
(Financial District area)","Posted
Posted 19 days ago",2.5,09/10/2022,
61,"New York, NY",social impact,"Associate, Creative Operations - Le Labo Fragrances",https://www.indeed.com/rc/clk?jk=377ef7e625c38df0&fccid=5cbdaa742f7e51f3&vjs=3,The Estée Lauder Companies," The Associate, Creative Operations will help manage Le Labo’s global creative requests and project management from end to end, communicating with cross","Brooklyn, NY","Posted
Posted 30+ days ago",4,09/10/2022,
62,"New York, NY",social impact,"Lead Specialist: Diversity, Equity, and Inclusion (DEI) Inst...",https://www.indeed.com/rc/clk?jk=81e6c1b329587c0c&fccid=9e215d88a6b33622&vjs=3,Deloitte," Support Institute team in building external eminence (events, meetings, social media, etc.).
 This role will work directly with Deloitte's DEI Institute leaders,","New York, NY","Posted
Posted 17 days ago",3.9,09/10/2022,
63,"New York, NY",social impact,"Associate, Social Media Strategist",https://www.indeed.com/rc/clk?jk=2d8d5b5d5521b9fa&fccid=bcc67c9d86a19ca1&vjs=3,IPG Mediabrands," Working knowledge of current and emerging social media platforms.
 In this role, you will work closely with team members to develop collaborative, creative, and","New York, NY","Posted
Posted 30 days ago",3.8,09/10/2022,
64,"New York, NY",social impact,"Manager, Impact Investing (Remote)",https://www.indeed.com/rc/clk?jk=24b8bd4629244f04&fccid=dd616958bd9ddc12&vjs=3,World Educion Services," Analyze and track the performance, financial and social reporting, and payments from portfolio companies, including synthesizing data into financial models,","Remote in New York, NY","Posted
Posted 3 days ago",,09/10/2022,
65,"New York, NY",social impact,Entry Level Financial Service Professional,https://www.indeed.com/rc/clk?jk=5d0f1fd8eb3eaddd&fccid=dd616958bd9ddc12&vjs=3,NYL - John Kelly," Leverage marketing and social media tools to identify, pursue, and secure new clients who can benefit from having a trusted financial service professional","New York, NY","Posted
Posted 30+ days ago",,09/10/2022,
66,"New York, NY",social impact,UN Women: Project Management Analyst,https://www.indeed.com/rc/clk?jk=5378c6716d02f5f4&fccid=a9a8bf2e786e3726&vjs=3,United Nations Development Programme (UNDP)," Master’s degree or equivalent in political science, social science, economics, business administration, accounting, finance, programme administration or other","New York, NY","Posted
Posted 15 days ago",4.4,09/10/2022,
67,"New York, NY",social impact,"Researcher, Crisis and Conflict",https://www.indeed.com/rc/clk?jk=d15862a68002b581&fccid=15bdfe93c6332d0c&vjs=3,Human Rights Watch," Education: * An advanced degree or an equivalent level of experience in international relations, journalism, law, history or social sciences is required","Remote in New York, NY 10118","Posted
Posted 17 days ago",4.7,09/10/2022,
68,"New York, NY",social impact,U.S. Probation Officer (Presentence Division),https://www.indeed.com/rc/clk?jk=b15f0825784c4dc0&fccid=c67807f343782cc7&vjs=3,U.S. Courts," Interviews victim(s) and provides victim impact statements to the court.
 Perform thorough and independent investigations of the offenses, offense conduct, and","New York, NY 11201 
(Brooklyn Heights area)","Posted
Posted 16 days ago",3.9,09/10/2022,
69,"New York, NY",social impact,"Mgr, Customer Communications",https://www.indeed.com/rc/clk?jk=fef6b849680058a5&fccid=0cc7e6bf8ac0b24f&vjs=3,Metropolitan Transportation Authority," Properly manage and mitigate risk during incidents with the potential for high impact and visibility.
 Gather information regarding current service impacts from","Manhattan, NY","Posted
Posted 30+ days ago",4,09/10/2022,
70,"New York, NY",social impact,Child Protection Coordinator,https://www.indeed.com/rc/clk?jk=b10d77a8347e562c&fccid=78143039abd7ee91&vjs=3,International Rescue Committee, Continually assess ongoing changes in behavior and general conditions that could impact the safety of a participant,"New York, NY","Posted
Posted 30+ days ago",4.2,09/10/2022,
71,"New York, NY",social impact,Student Psychological Counselor,https://www.indeed.com/rc/clk?jk=cc8e4a8c8bbc0c58&fccid=d6dbeb6f0303a871&vjs=3,The City University of New York (CUNY)," Participates in recommending improvements that will impact the counseling center's effectiveness.
 A Master's degree in an appropriate discipline for personal or","Bronx, NY","Posted
Posted 22 days ago",3.9,09/10/2022,
72,"New York, NY",social impact,Banking Team Assistant,https://www.indeed.com/rc/clk?jk=c40f641f87878b28&fccid=5249cd8e17163cb5&vjs=3,Standard Chartered," In line with our Fair Pay Charter, we offer a competitive salary and benefits to support your mental, physical, financial and social wellbeing","New York, NY 10036 
(Garment District area)","Posted
Posted 30+ days ago",4.1,09/10/2022,
73,"New York, NY",social impact,Social Media Manager,https://www.indeed.com/rc/clk?jk=0ec23295203d3465&fccid=da64d0dd25d69d2c&vjs=3,SoulCycle HQ," Define KPIs for social media campaigns.
 Experience crafting a successful social media strategy.
 Experience capturing and editing photo/video content for social","New York, NY","Posted
Posted 3 days ago",,09/10/2022,
74,"New York, NY",social impact,"Finance Analyst, Sustainability Global Supply Chain",https://www.indeed.com/rc/clk?jk=d797b78a05e9e8c5&fccid=d9162e48c444e6e3&vjs=3,Colgate-Palmolive, The Finance Analyst for Global Supply Chain will be responsible for consolidating and reporting on the operating costs of sustainability,"New York, NY 10022 
(Midtown area)","Posted
Posted 30+ days ago",4.3,09/10/2022,
75,"New York, NY",social impact,Associate Producer (Remote),https://www.indeed.com/rc/clk?jk=ccd9812951124983&fccid=68c045433ddb0032&vjs=3,CBS Television Stations," The successful candidate will have proven leadership skills, understand how to use social media to discover and track stories, and possess the news judgment to","Remote in New York, NY 10019","Posted
Posted 16 days ago",4,09/10/2022,
76,"New York, NY",social impact,Seasonal VTC Associate,https://www.indeed.com/rc/clk?jk=0c9c66d9c1467979&fccid=7a11eee3ff8b533d&vjs=3,Neiman Marcus, There are 38 full-line Neiman Marcus stores in cosmopolitan markets across the United States and a sophisticated digital platform that attracts shoppers,"New York, NY 10001 
(Chelsea area)","Posted
Posted 9 days ago",3.6,09/10/2022,
77,"New York, NY",social impact,Analyst Social and Digital Marketing,https://www.indeed.com/rc/clk?jk=75cecc31f89ab69a&fccid=7fe31231d8054866&vjs=3,KIND," Experience with social media management systems, analytics and social listening tools.
 Manage overall campaign management and execution of social and digital","New York, NY 10036","Posted
Posted 30+ days ago",4.1,09/10/2022,
78,"New York, NY",social impact,"Hospitality Ambassador, Maison Madison",https://www.indeed.com/rc/clk?jk=1735d85f28238273&fccid=de640f613b6c0608&vjs=3,HERMES OF PARIS INC.," This position will report to the Director, Concierge and support the client experience and represent Hermes in all respects of their duties","New York, NY","Posted
Posted 30+ days ago",4,09/10/2022,
